published_at,final_text,final_text (tokenize),label
2025-05-21 10:53:25,bagus,['bagus'],1
2025-05-21 00:28:40,mikirin mikirnya,"['mikirin', 'mikirnya']",2
2025-05-18 11:55:57,bubar retorika,"['bubar', 'retorika']",2
2025-05-17 23:56:01,takut kesinihormat,"['takut', 'kesinihormat']",1
2025-05-17 16:44:17,gede bagus bijak,"['gede', 'bagus', 'bijak']",1
2025-05-16 12:24:41,latih fisik dasar latih sosialisasi hadap bencana kuasa bahasa inggris fasih menghapal ayat suci al quran islam test hapal hapal sanksi emotional and spiritual quotient intelligence quotient asah selesai bangga bakat bakat pendam asah hapus gaul gaul amin latih fisik intelligence quotient emotional and spiritual quotient pegawai buruh loyal,"['latih', 'fisik', 'dasar', 'latih', 'sosialisasi', 'hadap', 'bencana', 'kuasa', 'bahasa', 'inggris', 'fasih', 'menghapal', 'ayat', 'suci', 'al', 'quran', 'islam', 'test', 'hapal', 'hapal', 'sanksi', 'emotional', 'and', 'spiritual', 'quotient', 'intelligence', 'quotient', 'asah', 'selesai', 'bangga', 'bakat', 'bakat', 'pendam', 'asah', 'hapus', 'gaul', 'gaul', 'amin', 'latih', 'fisik', 'intelligence', 'quotient', 'emotional', 'and', 'spiritual', 'quotient', 'pegawai', 'buruh', 'loyal']",2
2025-05-12 09:40:21,gratis latih fisik suka,"['gratis', 'latih', 'fisik', 'suka']",1
2025-05-10 08:40:06,mulyadiga cuap omongdiskusi telaah sinikaga kelarjadi sat set loyoagar cepat majurakyat makmur tentram tenang dongeng,"['mulyadiga', 'cuap', 'omongdiskusi', 'telaah', 'sinikaga', 'kelarjadi', 'sat', 'set', 'loyoagar', 'cepat', 'majurakyat', 'makmur', 'tentram', 'tenang', 'dongeng']",1
2025-05-10 06:46:20,aksi,['aksi'],2
2025-05-09 07:56:15,suka konten luas,"['suka', 'konten', 'luas']",1
2025-05-08 10:06:26,dasar aparat adab,"['dasar', 'aparat', 'adab']",3
2025-05-08 09:19:45,kecam komentator kritik,"['kecam', 'komentator', 'kritik']",2
2025-05-08 00:11:26,sd rajin,"['sd', 'rajin']",1
2025-05-07 06:17:28,versi gratis juru taruna nusantara mahal,"['versi', 'gratis', 'juru', 'taruna', 'nusantara', 'mahal']",1
2025-05-07 03:24:10,oke ujungquot gagal bulian senioritas keras leceh kontrol serba tutup potensi bagus kelola,"['oke', 'ujungquot', 'gagal', 'bulian', 'senioritas', 'keras', 'leceh', 'kontrol', 'serba', 'tutup', 'potensi', 'bagus', 'kelola']",2
2025-05-07 02:35:59,aduuh lampung yah oadahal bnaget bocah sd ngaji gaul dewasa oada ampun ampun,"['aduuh', 'lampung', 'yah', 'oadahal', 'bnaget', 'bocah', 'sd', 'ngaji', 'gaul', 'dewasa', 'oada', 'ampun', 'ampun']",1
2025-05-06 23:28:26,inti umur tindak kriminal efek jera dibiarin alas umur,"['inti', 'umur', 'tindak', 'kriminal', 'efek', 'jera', 'dibiarin', 'alas', 'umur']",2
2025-05-06 11:41:05,bentuk jangka wacana mulut maju,"['bentuk', 'jangka', 'wacana', 'mulut', 'maju']",1
2025-05-06 10:45:00,keren bravoo,"['keren', 'bravoo']",2
2025-05-06 09:37:40,bijak telusur,"['bijak', 'telusur']",2
2025-05-06 08:34:07,mantap dengar suara sumbang kaji,"['mantap', 'dengar', 'suara', 'sumbang', 'kaji']",1
