published_at,comment_text,label,cleaned_text,normalized_comment,cleaned_text2,no_stopwords,stemmed_text,no_stopwords2,tokenize_text
2025-05-21 10:53:25,Program bagus,1,program bagus,program bagus,program bagus,bagus,bagus,bagus,['bagus']
2025-05-21 00:28:40,gub jateng ga mikirin masa depan anak.mikiri wudele dewek,2,gub jateng ga mikirin masa depan anakmikiri wudele dewek,gubernur jawa tengah tidak mikirin masa depan anak mikirnya wudele sendiri,gubernur jawa tengah tidak mikirin masa depan anak mikirnya wudele sendiri,mikirin mikirnya wudele,mikirin mikirnya wudele,mikirin mikirnya,"['mikirin', 'mikirnya']"
2025-05-18 11:55:57,"Bubarkan saja DPRD dan DPR ini, penuh dengan retorika.",2,bubarkan saja dprd dan dpr ini penuh dengan retorika,bubarkan saja dewan perwakilan rakyat daerah dan dewan perwakilan rakyat ini penuh dengan retorika,bubarkan saja dewan perwakilan rakyat daerah dan dewan perwakilan rakyat ini penuh dengan retorika,bubarkan dewan perwakilan rakyat daerah dewan perwakilan rakyat penuh retorika,bubar dewan wakil rakyat daerah dewan wakil rakyat penuh retorika,bubar retorika,"['bubar', 'retorika']"
2025-05-17 23:56:01,"TakutNya anak gak punya masalah, Tapi ibuNya yg masalah mau anakNya kesini..Salut ama Pak Dedi Mulyadi.. dari jauh.",1,takutnya anak gak punya masalah tapi ibunya yg masalah mau anaknya kesinisalut ama pak dedi mulyadi dari jauh,"takutnya anak tidak punya masalah tapi ibunya yang masalah mau anaknya kesini,hormat sama pak dedi mulyadi dari jauh",takutnya anak tidak punya masalah tapi ibunya yang masalah mau anaknya kesinihormat sama pak dedi mulyadi dari jauh,takutnya ibunya anaknya kesinihormat,takut ibu anak kesinihormat,takut kesinihormat,"['takut', 'kesinihormat']"
2025-05-17 16:44:17,"Siapa tau kan gedenya jadi tni, malah bagus ini. Saya setuju sekali dgn kebijakan ini",1,siapa tau kan gedenya jadi tni malah bagus ini saya setuju sekali dgn kebijakan ini,siapa tahu akan gedenya jadi tentara nasional indonesia bahkan bagus ini saya setuju sekali dengan kebijakan ini,siapa tahu akan gedenya jadi tentara nasional indonesia bahkan bagus ini saya setuju sekali dengan kebijakan ini,gedenya tentara nasional bagus setuju kebijakan,gede tentara nasional bagus tuju bijak,gede bagus bijak,"['gede', 'bagus', 'bijak']"
2025-05-16 12:24:41,"Latihan fisik dan mental bagi anak remaja itu adalah sebagai pelajaran dasar saja, seharusnya ada lagi yg harus digembleng misalnya sosialisasi menghadapi bencana, penguasaan bahasa Inggris dalam waktu tsb harus sampai fasih, menghapal ayat suci Al Qur&#39;an bagi yg beragama Islam, di test sampai hapal, kalau tidak hapal ada sanksinya, esq dan Iq sangat penting untuk mengasah kembali supaya saat selesai dan kembali ke sekolah dan keluarga, mereka sudah jadi manusia manusia yg membanggakan keluarga dan masyarakat, mereka pasti punya bakat bakat terpendam yg belum terasah hanya karena terhapus oleh pergaulan pergaulan diluar rumah dan sekolah, siapa tau kedepannya mereka akan sangat berguna bagi negara dan bangsa, aamiin Kalau hanya latihan  fisik mental saja tanpa ada Iq dan esq, mereka akan hanya menjadi pegawai/ buruh yg loyal saja kedepannya",2,latihan fisik dan mental bagi anak remaja itu adalah sebagai pelajaran dasar saja seharusnya ada lagi yg harus digembleng misalnya sosialisasi menghadapi bencana penguasaan bahasa inggris dalam waktu tsb harus sampai fasih menghapal ayat suci al quran bagi yg beragama islam di test sampai hapal kalau tidak hapal ada sanksinya esq dan iq sangat penting untuk mengasah kembali supaya saat selesai dan kembali ke sekolah dan keluarga mereka sudah jadi manusia manusia yg membanggakan keluarga dan masyarakat mereka pasti punya bakat bakat terpendam yg belum terasah hanya karena terhapus oleh pergaulan pergaulan diluar rumah dan sekolah siapa tau kedepannya mereka akan sangat berguna bagi negara dan bangsa aamiin kalau hanya latihan fisik mental saja tanpa ada iq dan esq mereka akan hanya menjadi pegawai buruh yg loyal saja kedepannya,latihan fisik dan mental bagi anak remaja itu adalah sebagai pelajaran dasar saja seharusnya ada lagi yang harus dilatih misalnya sosialisasi menghadapi bencana penguasaan bahasa inggris dalam waktu tersebut harus sampai fasih menghapal ayat suci al quran bagi yang beragama islam di test sampai hapal kalau tidak hapal ada sanksinya emotional and spiritual quotient dan intelligence quotient sangat penting untuk mengasah kembali supaya saat selesai dan kembali kah sekolah dan keluarga mereka sudah jadi manusia manusia yang membanggakan keluarga dan masyarakat mereka pasti punya bakat bakat terpendam yang belum terasah hanya karena terhapus oleh pergaulan pergaulan diluar rumah dan sekolah siapa tahu kedepannya mereka akan sangat berguna bagi negara dan bangsa amin kalau hanya latihan fisik mental saja tanpa ada intelligence quotient dan emotional and spiritual quotient mereka akan hanya menjadi pegawai buruh yang loyal saja kedepannya,latihan fisik dan mental bagi anak remaja itu adalah sebagai pelajaran dasar saja seharusnya ada lagi yang harus dilatih misalnya sosialisasi menghadapi bencana penguasaan bahasa inggris dalam waktu tersebut harus sampai fasih menghapal ayat suci al quran bagi yang beragama islam di test sampai hapal kalau tidak hapal ada sanksinya emotional and spiritual quotient dan intelligence quotient sangat penting untuk mengasah kembali supaya saat selesai dan kembali kah sekolah dan keluarga mereka sudah jadi manusia manusia yang membanggakan keluarga dan masyarakat mereka pasti punya bakat bakat terpendam yang belum terasah hanya karena terhapus oleh pergaulan pergaulan diluar rumah dan sekolah siapa tahu kedepannya mereka akan sangat berguna bagi negara dan bangsa amin kalau hanya latihan fisik mental saja tanpa ada intelligence quotient dan emotional and spiritual quotient mereka akan hanya menjadi pegawai buruh yang loyal saja kedepannya,latihan fisik mental remaja pelajaran dasar dilatih sosialisasi menghadapi bencana penguasaan bahasa inggris fasih menghapal ayat suci al quran beragama islam test hapal hapal sanksinya emotional and spiritual quotient intelligence quotient mengasah selesai sekolah keluarga manusia manusia membanggakan keluarga masyarakat bakat bakat terpendam terasah terhapus pergaulan pergaulan diluar rumah sekolah kedepannya berguna amin latihan fisik mental intelligence quotient emotional and spiritual quotient pegawai buruh loyal kedepannya,latih fisik mental remaja ajar dasar latih sosialisasi hadap bencana kuasa bahasa inggris fasih menghapal ayat suci al quran agama islam test hapal hapal sanksi emotional and spiritual quotient intelligence quotient asah selesai sekolah keluarga manusia manusia bangga keluarga masyarakat bakat bakat pendam asah hapus gaul gaul luar rumah sekolah depan guna amin latih fisik mental intelligence quotient emotional and spiritual quotient pegawai buruh loyal depan,latih fisik dasar latih sosialisasi hadap bencana kuasa bahasa inggris fasih menghapal ayat suci al quran islam test hapal hapal sanksi emotional and spiritual quotient intelligence quotient asah selesai bangga bakat bakat pendam asah hapus gaul gaul amin latih fisik intelligence quotient emotional and spiritual quotient pegawai buruh loyal,"['latih', 'fisik', 'dasar', 'latih', 'sosialisasi', 'hadap', 'bencana', 'kuasa', 'bahasa', 'inggris', 'fasih', 'menghapal', 'ayat', 'suci', 'al', 'quran', 'islam', 'test', 'hapal', 'hapal', 'sanksi', 'emotional', 'and', 'spiritual', 'quotient', 'intelligence', 'quotient', 'asah', 'selesai', 'bangga', 'bakat', 'bakat', 'pendam', 'asah', 'hapus', 'gaul', 'gaul', 'amin', 'latih', 'fisik', 'intelligence', 'quotient', 'emotional', 'and', 'spiritual', 'quotient', 'pegawai', 'buruh', 'loyal']"
2025-05-12 09:40:21,Dapat makan gratis ga belajar cuma latihan fisik banyak anak yang suka,1,dapat makan gratis ga belajar cuma latihan fisik banyak anak yang suka,dapat makan gratis tidak belajar cuma latihan fisik banyak anak yang suka,dapat makan gratis tidak belajar cuma latihan fisik banyak anak yang suka,makan gratis belajar latihan fisik suka,makan gratis ajar latih fisik suka,gratis latih fisik suka,"['gratis', 'latih', 'fisik', 'suka']"
2025-05-10 08:40:06,"Saya setuju sama dedi mulyadi..ga cuma cuap2 seperti anda <a href=""http://pak.org/"">pak.org</a> seperti anda kebanyakan omong..diskusi sana telaah sini.kaga kelar2.jadi pejabat sat set lah.. jangan loyo..agar negara cepat maju.rakyat makmur dan tentram juga tenang.kalian dipilih rakyat bukan untuk berdongeng",1,saya setuju sama dedi mulyadiga cuma cuap seperti anda a href seperti anda kebanyakan omongdiskusi sana telaah sinikaga kelarjadi pejabat sat set lah jangan loyoagar negara cepat majurakyat makmur dan tentram juga tenangkalian dipilih rakyat bukan untuk berdongeng,saya setuju sama dedi mulyadiga cuma cuap seperti anda sebuah href seperti anda kebanyakan omongdiskusi sana telaah sinikaga kelarjadi pejabat sat set lah jangan loyoagar negara cepat majurakyat makmur dan tentram juga tenang kalian dipilih rakyat bukan untuk berdongeng,saya setuju sama dedi mulyadiga cuma cuap seperti anda sebuah href seperti anda kebanyakan omongdiskusi sana telaah sinikaga kelarjadi pejabat sat set lah jangan loyoagar negara cepat majurakyat makmur dan tentram juga tenang kalian dipilih rakyat bukan untuk berdongeng,setuju mulyadiga cuap kebanyakan omongdiskusi telaah sinikaga kelarjadi pejabat sat set loyoagar cepat majurakyat makmur tentram tenang dipilih rakyat berdongeng,tuju mulyadiga cuap banyak omongdiskusi telaah sinikaga kelarjadi jabat sat set loyoagar cepat majurakyat makmur tentram tenang pilih rakyat dongeng,mulyadiga cuap omongdiskusi telaah sinikaga kelarjadi sat set loyoagar cepat majurakyat makmur tentram tenang dongeng,"['mulyadiga', 'cuap', 'omongdiskusi', 'telaah', 'sinikaga', 'kelarjadi', 'sat', 'set', 'loyoagar', 'cepat', 'majurakyat', 'makmur', 'tentram', 'tenang', 'dongeng']"
2025-05-10 06:46:20,gubernur jateng aksi nyatanya apa untuk pembinaan anak nakal?,2,gubernur jateng aksi nyatanya apa untuk pembinaan anak nakal,gubernur jawa tengah aksi nyatanya apa untuk pembinaan anak nakal,gubernur jawa tengah aksi nyatanya apa untuk pembinaan anak nakal,aksi pembinaan,aksi bina,aksi,['aksi']
2025-05-09 07:56:15,"saya 100% mendukung program ini, karena anak anak jaman sekarang suka pada buat konten tawuran. semoga program ini bisa meluas dan seterusnya.",1,saya mendukung program ini karena anak anak jaman sekarang suka pada buat konten tawuran semoga program ini bisa meluas dan seterusnya,saya mendukung program ini karena anak anak jaman sekarang suka pada buat konten berantem semoga program ini bisa meluas dan seterusnya,saya mendukung program ini karena anak anak jaman sekarang suka pada buat konten berantem semoga program ini bisa meluas dan seterusnya,mendukung jaman suka konten berantem semoga meluas,dukung jaman suka konten antem moga luas,suka konten luas,"['suka', 'konten', 'luas']"
2025-05-08 10:06:26,lhah basicnya aja anak nakal klw jadi aparat ya pasti gak beradab juga 😂,3,lhah basicnya aja anak nakal klw jadi aparat ya pasti gak beradab juga,lhah dasarnya saja anak nakal kalau jadi aparat iya pasti tidak beradab juga,lhah dasarnya saja anak nakal kalau jadi aparat iya pasti tidak beradab juga,dasarnya aparat beradab,dasar aparat adab,dasar aparat adab,"['dasar', 'aparat', 'adab']"
2025-05-08 09:19:45,"lebay terlalu banyak teori, yang mengecam program ini karena selama ini tidak kerja.. komentator pengamat cuma loba ngahuntu bukannya membantu",2,lebay terlalu banyak teori yang mengecam program ini karena selama ini tidak kerja komentator pengamat cuma loba ngahuntu bukannya membantu,berlebihan terlalu banyak teori yang mengecam program ini karena selama ini tidak kerja komentator pengamat cuma coba mengkritik bukannya membantu,berlebihan terlalu banyak teori yang mengecam program ini karena selama ini tidak kerja komentator pengamat cuma coba mengkritik bukannya membantu,teori mengecam komentator pengamat coba mengkritik membantu,teori kecam komentator amat coba kritik bantu,kecam komentator kritik,"['kecam', 'komentator', 'kritik']"
2025-05-08 00:11:26,Setuju dedi mulyadi anak saya masih SD jadi rajin sekolah lihat anak di bina Militer,1,setuju dedi mulyadi anak saya masih sd jadi rajin sekolah lihat anak di bina militer,setuju dedi mulyadi anak saya masih sd jadi rajin sekolah lihat anak di bina militer,setuju dedi mulyadi anak saya masih sd jadi rajin sekolah lihat anak di bina militer,setuju sd rajin sekolah bina,tuju sd rajin sekolah bina,sd rajin,"['sd', 'rajin']"
